Epoch 001 | train_loss_norm=0.478477 | val_loss_norm=0.453404 | train_rmse_cycles≈89.924 | val_rmse_cycles≈87.536 | lr=2.00e-04
Epoch 002 | train_loss_norm=0.179866 | val_loss_norm=0.107729 | train_rmse_cycles≈55.134 | val_rmse_cycles≈42.669 | lr=3.00e-04
Epoch 003 | train_loss_norm=0.079497 | val_loss_norm=0.039001 | train_rmse_cycles≈36.654 | val_rmse_cycles≈25.673 | lr=4.00e-04
Epoch 004 | train_loss_norm=0.048158 | val_loss_norm=0.027369 | train_rmse_cycles≈28.528 | val_rmse_cycles≈21.507 | lr=5.00e-04
Epoch 005 | train_loss_norm=0.036771 | val_loss_norm=0.017273 | train_rmse_cycles≈24.929 | val_rmse_cycles≈17.086 | lr=5.00e-04
Epoch 006 | train_loss_norm=0.032127 | val_loss_norm=0.013631 | train_rmse_cycles≈23.301 | val_rmse_cycles≈15.178 | lr=5.00e-04
Epoch 007 | train_loss_norm=0.030104 | val_loss_norm=0.012931 | train_rmse_cycles≈22.556 | val_rmse_cycles≈14.783 | lr=5.00e-04
Epoch 008 | train_loss_norm=0.028732 | val_loss_norm=0.011593 | train_rmse_cycles≈22.035 | val_rmse_cycles≈13.997 | lr=4.99e-04
Epoch 009 | train_loss_norm=0.028054 | val_loss_norm=0.014363 | train_rmse_cycles≈21.774 | val_rmse_cycles≈15.580 | lr=4.99e-04
Epoch 010 | train_loss_norm=0.026588 | val_loss_norm=0.012339 | train_rmse_cycles≈21.198 | val_rmse_cycles≈14.441 | lr=4.98e-04
Epoch 011 | train_loss_norm=0.026171 | val_loss_norm=0.010887 | train_rmse_cycles≈21.031 | val_rmse_cycles≈13.564 | lr=4.97e-04
Epoch 012 | train_loss_norm=0.025538 | val_loss_norm=0.011701 | train_rmse_cycles≈20.775 | val_rmse_cycles≈14.062 | lr=4.95e-04
Epoch 013 | train_loss_norm=0.025330 | val_loss_norm=0.011862 | train_rmse_cycles≈20.690 | val_rmse_cycles≈14.159 | lr=4.94e-04
Epoch 014 | train_loss_norm=0.024916 | val_loss_norm=0.011324 | train_rmse_cycles≈20.520 | val_rmse_cycles≈13.834 | lr=4.92e-04
Epoch 015 | train_loss_norm=0.024196 | val_loss_norm=0.010275 | train_rmse_cycles≈20.222 | val_rmse_cycles≈13.177 | lr=4.91e-04
Epoch 016 | train_loss_norm=0.024342 | val_loss_norm=0.009290 | train_rmse_cycles≈20.283 | val_rmse_cycles≈12.530 | lr=4.89e-04
Epoch 017 | train_loss_norm=0.024203 | val_loss_norm=0.010813 | train_rmse_cycles≈20.225 | val_rmse_cycles≈13.518 | lr=4.87e-04
Epoch 018 | train_loss_norm=0.024178 | val_loss_norm=0.011507 | train_rmse_cycles≈20.214 | val_rmse_cycles≈13.945 | lr=4.84e-04
Epoch 019 | train_loss_norm=0.023908 | val_loss_norm=0.010136 | train_rmse_cycles≈20.101 | val_rmse_cycles≈13.088 | lr=4.82e-04
Epoch 020 | train_loss_norm=0.024174 | val_loss_norm=0.009309 | train_rmse_cycles≈20.212 | val_rmse_cycles≈12.543 | lr=4.79e-04
Epoch 021 | train_loss_norm=0.023616 | val_loss_norm=0.011548 | train_rmse_cycles≈19.978 | val_rmse_cycles≈13.970 | lr=4.76e-04
Epoch 022 | train_loss_norm=0.023363 | val_loss_norm=0.010268 | train_rmse_cycles≈19.870 | val_rmse_cycles≈13.173 | lr=4.74e-04
Epoch 023 | train_loss_norm=0.023191 | val_loss_norm=0.010859 | train_rmse_cycles≈19.797 | val_rmse_cycles≈13.547 | lr=4.70e-04
Epoch 024 | train_loss_norm=0.023007 | val_loss_norm=0.010775 | train_rmse_cycles≈19.718 | val_rmse_cycles≈13.494 | lr=4.67e-04
Epoch 025 | train_loss_norm=0.023015 | val_loss_norm=0.011835 | train_rmse_cycles≈19.722 | val_rmse_cycles≈14.142 | lr=4.64e-04
Epoch 026 | train_loss_norm=0.022995 | val_loss_norm=0.008143 | train_rmse_cycles≈19.713 | val_rmse_cycles≈11.731 | lr=4.60e-04
Epoch 027 | train_loss_norm=0.022212 | val_loss_norm=0.010172 | train_rmse_cycles≈19.375 | val_rmse_cycles≈13.111 | lr=4.56e-04
Epoch 028 | train_loss_norm=0.022328 | val_loss_norm=0.008425 | train_rmse_cycles≈19.425 | val_rmse_cycles≈11.933 | lr=4.52e-04
Epoch 029 | train_loss_norm=0.021382 | val_loss_norm=0.012544 | train_rmse_cycles≈19.009 | val_rmse_cycles≈14.560 | lr=4.48e-04
Epoch 030 | train_loss_norm=0.021358 | val_loss_norm=0.010216 | train_rmse_cycles≈18.999 | val_rmse_cycles≈13.139 | lr=4.44e-04
Epoch 031 | train_loss_norm=0.021740 | val_loss_norm=0.009574 | train_rmse_cycles≈19.168 | val_rmse_cycles≈12.720 | lr=4.40e-04
Epoch 032 | train_loss_norm=0.021502 | val_loss_norm=0.009341 | train_rmse_cycles≈19.063 | val_rmse_cycles≈12.565 | lr=4.35e-04
Epoch 033 | train_loss_norm=0.021277 | val_loss_norm=0.009554 | train_rmse_cycles≈18.962 | val_rmse_cycles≈12.707 | lr=4.30e-04
Epoch 034 | train_loss_norm=0.021361 | val_loss_norm=0.008317 | train_rmse_cycles≈19.000 | val_rmse_cycles≈11.855 | lr=4.26e-04
Epoch 035 | train_loss_norm=0.021147 | val_loss_norm=0.010031 | train_rmse_cycles≈18.905 | val_rmse_cycles≈13.020 | lr=4.21e-04
Epoch 036 | train_loss_norm=0.020834 | val_loss_norm=0.010001 | train_rmse_cycles≈18.764 | val_rmse_cycles≈13.001 | lr=4.16e-04
Epoch 037 | train_loss_norm=0.020748 | val_loss_norm=0.010509 | train_rmse_cycles≈18.726 | val_rmse_cycles≈13.327 | lr=4.10e-04
Epoch 038 | train_loss_norm=0.020304 | val_loss_norm=0.009705 | train_rmse_cycles≈18.524 | val_rmse_cycles≈12.807 | lr=4.05e-04
Epoch 039 | train_loss_norm=0.020204 | val_loss_norm=0.008739 | train_rmse_cycles≈18.478 | val_rmse_cycles≈12.152 | lr=4.00e-04
Epoch 040 | train_loss_norm=0.019806 | val_loss_norm=0.010783 | train_rmse_cycles≈18.295 | val_rmse_cycles≈13.500 | lr=3.94e-04
Epoch 041 | train_loss_norm=0.019653 | val_loss_norm=0.008982 | train_rmse_cycles≈18.225 | val_rmse_cycles≈12.320 | lr=3.89e-04
Epoch 042 | train_loss_norm=0.019838 | val_loss_norm=0.009136 | train_rmse_cycles≈18.310 | val_rmse_cycles≈12.426 | lr=3.83e-04
Epoch 043 | train_loss_norm=0.019289 | val_loss_norm=0.008551 | train_rmse_cycles≈18.055 | val_rmse_cycles≈12.021 | lr=3.77e-04
Epoch 044 | train_loss_norm=0.019827 | val_loss_norm=0.008037 | train_rmse_cycles≈18.305 | val_rmse_cycles≈11.654 | lr=3.71e-04
Epoch 045 | train_loss_norm=0.019397 | val_loss_norm=0.009868 | train_rmse_cycles≈18.105 | val_rmse_cycles≈12.914 | lr=3.65e-04
Epoch 046 | train_loss_norm=0.019302 | val_loss_norm=0.008553 | train_rmse_cycles≈18.061 | val_rmse_cycles≈12.023 | lr=3.59e-04
Epoch 047 | train_loss_norm=0.019211 | val_loss_norm=0.008734 | train_rmse_cycles≈18.018 | val_rmse_cycles≈12.150 | lr=3.53e-04
Epoch 048 | train_loss_norm=0.019338 | val_loss_norm=0.009010 | train_rmse_cycles≈18.078 | val_rmse_cycles≈12.340 | lr=3.46e-04
Epoch 049 | train_loss_norm=0.019436 | val_loss_norm=0.009429 | train_rmse_cycles≈18.124 | val_rmse_cycles≈12.623 | lr=3.40e-04
Epoch 050 | train_loss_norm=0.018904 | val_loss_norm=0.008653 | train_rmse_cycles≈17.874 | val_rmse_cycles≈12.093 | lr=3.34e-04
Epoch 051 | train_loss_norm=0.019048 | val_loss_norm=0.010301 | train_rmse_cycles≈17.942 | val_rmse_cycles≈13.195 | lr=3.27e-04
Epoch 052 | train_loss_norm=0.019147 | val_loss_norm=0.009943 | train_rmse_cycles≈17.989 | val_rmse_cycles≈12.963 | lr=3.21e-04
Epoch 053 | train_loss_norm=0.019005 | val_loss_norm=0.008870 | train_rmse_cycles≈17.922 | val_rmse_cycles≈12.244 | lr=3.14e-04
Epoch 054 | train_loss_norm=0.018673 | val_loss_norm=0.008352 | train_rmse_cycles≈17.765 | val_rmse_cycles≈11.881 | lr=3.08e-04
Epoch 055 | train_loss_norm=0.018921 | val_loss_norm=0.009406 | train_rmse_cycles≈17.882 | val_rmse_cycles≈12.608 | lr=3.01e-04
Epoch 056 | train_loss_norm=0.018978 | val_loss_norm=0.008258 | train_rmse_cycles≈17.909 | val_rmse_cycles≈11.814 | lr=2.94e-04
Epoch 057 | train_loss_norm=0.018643 | val_loss_norm=0.008867 | train_rmse_cycles≈17.750 | val_rmse_cycles≈12.241 | lr=2.87e-04
Epoch 058 | train_loss_norm=0.018669 | val_loss_norm=0.009081 | train_rmse_cycles≈17.763 | val_rmse_cycles≈12.388 | lr=2.81e-04
Epoch 059 | train_loss_norm=0.018760 | val_loss_norm=0.009621 | train_rmse_cycles≈17.806 | val_rmse_cycles≈12.751 | lr=2.74e-04
Epoch 060 | train_loss_norm=0.018468 | val_loss_norm=0.008490 | train_rmse_cycles≈17.667 | val_rmse_cycles≈11.978 | lr=2.67e-04
Epoch 061 | train_loss_norm=0.018491 | val_loss_norm=0.008251 | train_rmse_cycles≈17.677 | val_rmse_cycles≈11.809 | lr=2.60e-04
Epoch 062 | train_loss_norm=0.018332 | val_loss_norm=0.008978 | train_rmse_cycles≈17.602 | val_rmse_cycles≈12.318 | lr=2.53e-04
Epoch 063 | train_loss_norm=0.018209 | val_loss_norm=0.009564 | train_rmse_cycles≈17.542 | val_rmse_cycles≈12.714 | lr=2.47e-04
Epoch 064 | train_loss_norm=0.017916 | val_loss_norm=0.008222 | train_rmse_cycles≈17.400 | val_rmse_cycles≈11.788 | lr=2.40e-04
Epoch 065 | train_loss_norm=0.018120 | val_loss_norm=0.007593 | train_rmse_cycles≈17.499 | val_rmse_cycles≈11.328 | lr=2.33e-04
Epoch 066 | train_loss_norm=0.017921 | val_loss_norm=0.008932 | train_rmse_cycles≈17.403 | val_rmse_cycles≈12.286 | lr=2.26e-04
Epoch 067 | train_loss_norm=0.017811 | val_loss_norm=0.007720 | train_rmse_cycles≈17.350 | val_rmse_cycles≈11.423 | lr=2.19e-04
Epoch 068 | train_loss_norm=0.017925 | val_loss_norm=0.008773 | train_rmse_cycles≈17.405 | val_rmse_cycles≈12.177 | lr=2.13e-04
Epoch 069 | train_loss_norm=0.018009 | val_loss_norm=0.009474 | train_rmse_cycles≈17.446 | val_rmse_cycles≈12.653 | lr=2.06e-04
Epoch 070 | train_loss_norm=0.017980 | val_loss_norm=0.008592 | train_rmse_cycles≈17.431 | val_rmse_cycles≈12.050 | lr=1.99e-04
Epoch 071 | train_loss_norm=0.017656 | val_loss_norm=0.008298 | train_rmse_cycles≈17.274 | val_rmse_cycles≈11.842 | lr=1.92e-04
Epoch 072 | train_loss_norm=0.017639 | val_loss_norm=0.008492 | train_rmse_cycles≈17.265 | val_rmse_cycles≈11.979 | lr=1.86e-04
Epoch 073 | train_loss_norm=0.017457 | val_loss_norm=0.008809 | train_rmse_cycles≈17.176 | val_rmse_cycles≈12.201 | lr=1.79e-04
Epoch 074 | train_loss_norm=0.017331 | val_loss_norm=0.008004 | train_rmse_cycles≈17.114 | val_rmse_cycles≈11.631 | lr=1.73e-04
Epoch 075 | train_loss_norm=0.017283 | val_loss_norm=0.008082 | train_rmse_cycles≈17.090 | val_rmse_cycles≈11.687 | lr=1.66e-04
Epoch 076 | train_loss_norm=0.017424 | val_loss_norm=0.007819 | train_rmse_cycles≈17.160 | val_rmse_cycles≈11.496 | lr=1.60e-04
Epoch 077 | train_loss_norm=0.017331 | val_loss_norm=0.007676 | train_rmse_cycles≈17.114 | val_rmse_cycles≈11.390 | lr=1.54e-04
Epoch 078 | train_loss_norm=0.017404 | val_loss_norm=0.007854 | train_rmse_cycles≈17.150 | val_rmse_cycles≈11.521 | lr=1.47e-04
Epoch 079 | train_loss_norm=0.017900 | val_loss_norm=0.007399 | train_rmse_cycles≈17.393 | val_rmse_cycles≈11.182 | lr=1.41e-04
Epoch 080 | train_loss_norm=0.017293 | val_loss_norm=0.008139 | train_rmse_cycles≈17.095 | val_rmse_cycles≈11.728 | lr=1.35e-04
Epoch 081 | train_loss_norm=0.017390 | val_loss_norm=0.008496 | train_rmse_cycles≈17.143 | val_rmse_cycles≈11.982 | lr=1.29e-04
Epoch 082 | train_loss_norm=0.017419 | val_loss_norm=0.007041 | train_rmse_cycles≈17.158 | val_rmse_cycles≈10.908 | lr=1.23e-04
Epoch 083 | train_loss_norm=0.016903 | val_loss_norm=0.007868 | train_rmse_cycles≈16.901 | val_rmse_cycles≈11.532 | lr=1.17e-04
Epoch 084 | train_loss_norm=0.017254 | val_loss_norm=0.008286 | train_rmse_cycles≈17.076 | val_rmse_cycles≈11.834 | lr=1.11e-04
Epoch 085 | train_loss_norm=0.017201 | val_loss_norm=0.008405 | train_rmse_cycles≈17.050 | val_rmse_cycles≈11.918 | lr=1.06e-04
Epoch 086 | train_loss_norm=0.017418 | val_loss_norm=0.008092 | train_rmse_cycles≈17.157 | val_rmse_cycles≈11.694 | lr=1.00e-04
Epoch 087 | train_loss_norm=0.017051 | val_loss_norm=0.008450 | train_rmse_cycles≈16.975 | val_rmse_cycles≈11.950 | lr=9.49e-05
Epoch 088 | train_loss_norm=0.017109 | val_loss_norm=0.007735 | train_rmse_cycles≈17.004 | val_rmse_cycles≈11.434 | lr=8.96e-05
Epoch 089 | train_loss_norm=0.017174 | val_loss_norm=0.007427 | train_rmse_cycles≈17.037 | val_rmse_cycles≈11.204 | lr=8.44e-05
Epoch 090 | train_loss_norm=0.017247 | val_loss_norm=0.008277 | train_rmse_cycles≈17.073 | val_rmse_cycles≈11.827 | lr=7.94e-05
