Epoch 001 | train_loss_norm=0.397463 | val_loss_norm=0.230115 | train_rmse_cycles≈81.958 | val_rmse_cycles≈62.361 | lr=1.20e-04
Epoch 002 | train_loss_norm=0.111888 | val_loss_norm=0.081870 | train_rmse_cycles≈43.484 | val_rmse_cycles≈37.197 | lr=1.80e-04
Epoch 003 | train_loss_norm=0.073380 | val_loss_norm=0.048192 | train_rmse_cycles≈35.215 | val_rmse_cycles≈28.539 | lr=2.40e-04
Epoch 004 | train_loss_norm=0.041514 | val_loss_norm=0.027572 | train_rmse_cycles≈26.487 | val_rmse_cycles≈21.586 | lr=3.00e-04
Epoch 005 | train_loss_norm=0.022849 | val_loss_norm=0.016152 | train_rmse_cycles≈19.651 | val_rmse_cycles≈16.522 | lr=3.00e-04
Epoch 006 | train_loss_norm=0.016988 | val_loss_norm=0.021303 | train_rmse_cycles≈16.944 | val_rmse_cycles≈18.974 | lr=3.00e-04
Epoch 007 | train_loss_norm=0.015076 | val_loss_norm=0.014583 | train_rmse_cycles≈15.962 | val_rmse_cycles≈15.699 | lr=3.00e-04
Epoch 008 | train_loss_norm=0.013679 | val_loss_norm=0.015134 | train_rmse_cycles≈15.204 | val_rmse_cycles≈15.992 | lr=2.99e-04
Epoch 009 | train_loss_norm=0.013014 | val_loss_norm=0.015770 | train_rmse_cycles≈14.830 | val_rmse_cycles≈16.325 | lr=2.99e-04
Epoch 010 | train_loss_norm=0.012515 | val_loss_norm=0.011650 | train_rmse_cycles≈14.543 | val_rmse_cycles≈14.032 | lr=2.98e-04
Epoch 011 | train_loss_norm=0.011254 | val_loss_norm=0.013382 | train_rmse_cycles≈13.791 | val_rmse_cycles≈15.038 | lr=2.97e-04
Epoch 012 | train_loss_norm=0.011370 | val_loss_norm=0.016606 | train_rmse_cycles≈13.862 | val_rmse_cycles≈16.752 | lr=2.96e-04
Epoch 013 | train_loss_norm=0.010644 | val_loss_norm=0.011596 | train_rmse_cycles≈13.412 | val_rmse_cycles≈13.999 | lr=2.95e-04
Epoch 014 | train_loss_norm=0.010394 | val_loss_norm=0.012299 | train_rmse_cycles≈13.254 | val_rmse_cycles≈14.417 | lr=2.93e-04
Epoch 015 | train_loss_norm=0.010120 | val_loss_norm=0.012813 | train_rmse_cycles≈13.078 | val_rmse_cycles≈14.716 | lr=2.92e-04
Epoch 016 | train_loss_norm=0.009696 | val_loss_norm=0.011691 | train_rmse_cycles≈12.801 | val_rmse_cycles≈14.056 | lr=2.90e-04
Epoch 017 | train_loss_norm=0.010134 | val_loss_norm=0.010586 | train_rmse_cycles≈13.087 | val_rmse_cycles≈13.375 | lr=2.88e-04
Epoch 018 | train_loss_norm=0.009738 | val_loss_norm=0.011492 | train_rmse_cycles≈12.829 | val_rmse_cycles≈13.936 | lr=2.86e-04
Epoch 019 | train_loss_norm=0.009309 | val_loss_norm=0.012629 | train_rmse_cycles≈12.543 | val_rmse_cycles≈14.609 | lr=2.84e-04
Epoch 020 | train_loss_norm=0.009779 | val_loss_norm=0.012166 | train_rmse_cycles≈12.855 | val_rmse_cycles≈14.339 | lr=2.82e-04
Epoch 021 | train_loss_norm=0.009550 | val_loss_norm=0.011211 | train_rmse_cycles≈12.704 | val_rmse_cycles≈13.764 | lr=2.79e-04
Epoch 022 | train_loss_norm=0.009245 | val_loss_norm=0.011626 | train_rmse_cycles≈12.499 | val_rmse_cycles≈14.017 | lr=2.77e-04
Epoch 023 | train_loss_norm=0.009109 | val_loss_norm=0.010984 | train_rmse_cycles≈12.407 | val_rmse_cycles≈13.625 | lr=2.74e-04
Epoch 024 | train_loss_norm=0.008830 | val_loss_norm=0.010948 | train_rmse_cycles≈12.216 | val_rmse_cycles≈13.602 | lr=2.71e-04
Epoch 025 | train_loss_norm=0.009199 | val_loss_norm=0.012271 | train_rmse_cycles≈12.468 | val_rmse_cycles≈14.401 | lr=2.68e-04
Epoch 026 | train_loss_norm=0.008822 | val_loss_norm=0.011145 | train_rmse_cycles≈12.210 | val_rmse_cycles≈13.724 | lr=2.65e-04
Epoch 027 | train_loss_norm=0.009034 | val_loss_norm=0.011169 | train_rmse_cycles≈12.356 | val_rmse_cycles≈13.739 | lr=2.62e-04
Epoch 028 | train_loss_norm=0.008529 | val_loss_norm=0.011962 | train_rmse_cycles≈12.006 | val_rmse_cycles≈14.218 | lr=2.59e-04
Epoch 029 | train_loss_norm=0.008664 | val_loss_norm=0.012353 | train_rmse_cycles≈12.101 | val_rmse_cycles≈14.449 | lr=2.55e-04
Epoch 030 | train_loss_norm=0.008573 | val_loss_norm=0.011777 | train_rmse_cycles≈12.037 | val_rmse_cycles≈14.108 | lr=2.52e-04
Epoch 031 | train_loss_norm=0.008515 | val_loss_norm=0.011189 | train_rmse_cycles≈11.996 | val_rmse_cycles≈13.751 | lr=2.48e-04
Epoch 032 | train_loss_norm=0.008327 | val_loss_norm=0.010702 | train_rmse_cycles≈11.863 | val_rmse_cycles≈13.448 | lr=2.44e-04
Epoch 033 | train_loss_norm=0.008263 | val_loss_norm=0.009115 | train_rmse_cycles≈11.817 | val_rmse_cycles≈12.412 | lr=2.40e-04
Epoch 034 | train_loss_norm=0.008433 | val_loss_norm=0.010436 | train_rmse_cycles≈11.938 | val_rmse_cycles≈13.280 | lr=2.36e-04
Epoch 035 | train_loss_norm=0.008058 | val_loss_norm=0.013303 | train_rmse_cycles≈11.670 | val_rmse_cycles≈14.994 | lr=2.32e-04
Epoch 036 | train_loss_norm=0.008338 | val_loss_norm=0.012149 | train_rmse_cycles≈11.871 | val_rmse_cycles≈14.329 | lr=2.28e-04
Epoch 037 | train_loss_norm=0.008230 | val_loss_norm=0.012965 | train_rmse_cycles≈11.794 | val_rmse_cycles≈14.802 | lr=2.24e-04
Epoch 038 | train_loss_norm=0.008145 | val_loss_norm=0.012434 | train_rmse_cycles≈11.733 | val_rmse_cycles≈14.496 | lr=2.19e-04
Epoch 039 | train_loss_norm=0.007571 | val_loss_norm=0.012554 | train_rmse_cycles≈11.312 | val_rmse_cycles≈14.566 | lr=2.15e-04
Epoch 040 | train_loss_norm=0.007531 | val_loss_norm=0.011314 | train_rmse_cycles≈11.282 | val_rmse_cycles≈13.828 | lr=2.10e-04
Epoch 041 | train_loss_norm=0.007707 | val_loss_norm=0.014683 | train_rmse_cycles≈11.413 | val_rmse_cycles≈15.753 | lr=2.06e-04
Epoch 042 | train_loss_norm=0.007795 | val_loss_norm=0.012568 | train_rmse_cycles≈11.478 | val_rmse_cycles≈14.574 | lr=2.01e-04
Epoch 043 | train_loss_norm=0.007711 | val_loss_norm=0.009597 | train_rmse_cycles≈11.415 | val_rmse_cycles≈12.735 | lr=1.96e-04
Epoch 044 | train_loss_norm=0.007547 | val_loss_norm=0.014717 | train_rmse_cycles≈11.294 | val_rmse_cycles≈15.771 | lr=1.92e-04
Epoch 045 | train_loss_norm=0.007713 | val_loss_norm=0.012316 | train_rmse_cycles≈11.417 | val_rmse_cycles≈14.427 | lr=1.87e-04
